2m_0deg,2m_22deg,2m_45deg,2m_67deg,2m_90deg,1m_90deg,1m_67deg,1m_45deg,1m_22deg,1m_0deg
1.98,3.671,2.965,3.613,3.672,1.008,3.672,0.921,0.967,0.986
1.979,3.673,2.965,3.613,3.67,1.008,3.671,0.921,0.967,0.988
1.98,3.672,2.969,3.615,3.672,1.009,0.867,0.921,0.969,0.987
1.979,3.669,2.948,3.611,3.675,1.01,0.876,0.92,0.968,0.987
1.98,3.673,2.949,3.615,3.674,1.011,0.879,0.92,0.967,0.987
1.979,3.671,2.945,3.613,3.669,1.011,0.87,0.921,0.967,0.987
1.979,3.67,2.943,3.612,3.673,1.011,0.876,0.924,0.968,0.987
1.98,3.671,2.945,3.61,3.67,1.011,0.884,0.92,0.968,0.987
1.98,3.67,2.951,3.61,3.672,1.009,0.888,0.923,0.966,0.987
1.979,3.672,2.955,3.61,3.668,1.009,0.885,0.923,0.968,0.986
1.979,3.672,2.954,3.609,3.67,1.009,0.884,0.924,0.967,0.987
1.979,3.673,2.955,3.615,3.67,1.009,0.887,0.924,0.968,0.987
1.98,3.67,2.954,3.611,3.672,1.009,0.884,0.924,0.968,0.987
