2m_0deg,2m_22deg,2m_45deg,2m_67deg,2m_90deg,1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg
1.976,1.955,2.946,3.673,3.672,0.99,0.971,0.928,0.881,0.844
1.975,1.96,2.947,3.67,3.672,0.989,0.97,0.929,0.88,0.846
1.977,1.959,2.948,3.672,3.671,0.99,0.97,0.931,0.877,0.854
1.977,1.957,2.946,3.671,3.672,0.989,0.971,0.927,0.874,0.849
1.975,1.951,2.948,3.672,3.671,0.99,0.971,0.926,0.873,0.85
1.976,1.949,2.948,3.672,3.67,0.99,0.969,0.925,0.872,0.854
1.977,1.949,2.947,3.671,3.669,0.99,0.97,0.924,0.874,0.856
1.977,1.954,2.949,3.673,3.67,0.989,0.971,0.925,0.875,0.854
1.977,1.953,2.951,3.671,3.671,0.989,0.971,0.926,0.878,0.854
1.975,1.953,2.949,3.662,3.67,0.99,0.97,0.927,0.884,0.852
1.978,1.956,2.95,1.901,3.67,0.99,0.97,0.929,0.883,0.853
1.976,1.957,2.949,1.901,3.67,0.99,0.971,0.928,0.885,0.854
1.976,1.957,2.95,1.907,3.671,0.991,0.971,0.929,0.886,0.852
1.976,1.954,2.136,3.671,3.671,0.991,0.97,0.93,0.884,0.853
1.976,1.956,2.949,3.672,3.671,0.991,0.971,0.931,0.884,0.852
1.976,1.955,2.949,3.671,3.67,0.99,0.969,0.926,0.883,0.851
1.976,1.954,2.95,3.67,3.671,0.991,0.969,0.93,0.879,0.853
1.976,1.95,2.951,3.673,3.672,0.989,0.969,0.924,0.878,0.852
1.976,1.95,2.951,3.672,3.67,0.989,0.969,0.923,0.877,0.854
1.976,1.95,2.951,3.672,3.671,0.989,0.97,0.922,0.875,0.852
1.976,1.95,2.948,3.672,3.672,0.989,0.97,0.923,0.876,0.855
1.976,1.949,2.111,3.674,3.671,0.989,0.969,0.925,0.877,0.853
1.975,1.948,2.947,3.672,3.673,0.989,0.971,0.924,0.877,0.854
1.975,1.946,2.947,3.674,3.671,0.989,0.971,0.925,0.878,0.852
1.974,1.95,2.109,3.673,3.67,0.99,0.97,0.926,0.877,0.854
1.976,1.953,2.103,3.674,3.672,0.989,0.97,0.932,0.878,0.852
1.976,1.953,2.1,3.672,3.671,0.989,0.97,0.933,0.877,0.853
