0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.388,0.37,0.368,0.366,0.366,0.367,0.371,0.359,0.4,0.687,0.689,0.686,0.681,0.573,0.631,0.688,0.537,0.697,1.246,1.19,1.311,1.234,1.112,1.316,1.315,1.297,1.332,2.561,4.426,2.311,2.577,2.577,2.58,2.302,3.016,3.306
0.388,0.37,0.37,0.366,0.366,0.367,0.37,0.36,0.4,0.685,0.537,0.685,0.68,0.683,0.683,0.687,0.689,0.697,1.334,1.324,1.161,1.097,1.315,1.17,1.317,1.327,1.332,2.561,4.999,2.4,2.292,2.576,2.58,2.587,3.018,3.021
0.388,0.37,0.359,0.366,0.364,0.367,0.371,0.359,0.399,0.686,0.69,0.686,0.684,0.681,0.682,0.688,0.689,0.695,1.334,1.33,1.32,1.248,1.315,1.316,1.317,1.045,1.244,2.559,4.712,2.581,2.449,2.577,2.579,2.586,3.257,3.309
0.388,0.37,0.37,0.366,0.365,0.367,0.369,0.359,0.398,0.685,0.689,0.624,0.55,0.683,0.531,0.686,0.689,0.697,1.336,1.06,1.124,1.113,1.315,1.316,1.317,1.156,1.331,2.562,4.761,2.513,2.042,2.568,2.58,2.587,3.141,3.297
0.388,0.37,0.365,0.364,0.364,0.367,0.371,0.359,0.399,0.687,0.69,0.685,0.684,0.681,0.557,0.689,0.542,0.696,1.331,1.215,1.32,1.072,1.315,1.316,1.284,1.326,1.331,2.561,4.426,2.383,2.577,2.576,2.211,2.587,3.02,3.175
0.388,0.368,0.37,0.366,0.366,0.285,0.369,0.359,0.397,0.686,0.627,0.684,0.683,0.531,0.683,0.688,0.69,0.697,1.336,1.332,1.321,1.133,1.314,1.316,1.316,1.326,1.23,2.453,4.427,2.539,2.487,2.057,2.579,2.362,2.921,3.31
0.388,0.37,0.37,0.364,0.364,0.367,0.371,0.359,0.4,0.688,0.691,0.686,0.683,0.632,0.682,0.689,0.689,0.593,1.279,1.331,1.145,1.315,1.304,1.316,1.317,1.326,1.295,4.791,4.426,2.296,2.291,2.291,2.58,2.36,3.305,3.308
0.388,0.368,0.37,0.366,0.366,0.367,0.371,0.359,0.399,0.687,0.689,0.687,0.681,0.683,0.681,0.688,0.691,0.697,1.335,1.332,1.321,1.315,1.313,1.316,1.316,1.256,1.33,4.668,4.427,2.315,2.149,2.577,2.58,2.587,3.304,3.308
0.388,0.37,0.37,0.364,0.365,0.366,0.371,0.359,0.4,0.688,0.69,0.685,0.683,0.665,0.683,0.688,0.689,0.696,1.335,1.331,1.321,1.034,1.072,1.122,1.317,1.326,1.043,4.826,4.694,2.423,2.035,2.577,2.58,2.282,3.019,2.736
0.386,0.368,0.37,0.366,0.364,0.367,0.371,0.359,0.36,0.687,0.656,0.687,0.644,0.672,0.681,0.689,0.691,0.697,1.336,1.331,1.321,1.316,1.315,1.315,1.316,1.283,1.189,4.718,2.584,2.294,2.576,2.431,2.294,2.588,3.305,3.306
