2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
2.48,2.513,2.518,2.511,2.51,2.513,2.522,2.233,3.297,1.089,1.265,1.247,1.142,1.256,1.2,1.264,1.269,1.273,2.479,0.607,0.605,0.604,0.601,0.603,0.478,0.605,2.132,2.174,0.292,0.294,0.292,0.294,0.296,0.293,2.477,1.948
2.195,2.512,2.487,2.513,2.245,2.512,2.137,2.52,3.158,1.279,1.155,1.258,1.226,1.256,1.259,1.045,1.267,1.273,2.48,0.603,0.606,0.491,0.6,0.601,0.605,0.607,2.179,2.174,0.292,0.295,0.293,0.294,0.296,0.293,2.482,2.486
2.365,2.512,2.347,2.511,2.51,2.043,2.236,2.518,3.02,1.186,1.019,0.98,1.256,1.183,1.259,1.185,1.269,1.272,2.386,0.609,0.535,0.604,0.601,0.602,0.604,0.566,2.18,1.937,0.292,0.294,0.25,0.294,0.296,0.292,2.483,2.216
2.482,2.135,2.494,2.214,2.509,2.227,2.522,2.518,2.887,1.048,1.265,1.258,1.256,1.04,1.259,1.044,1.268,1.273,2.459,0.491,0.471,0.57,0.6,0.481,0.605,0.607,2.18,2.176,0.29,0.295,0.293,0.294,0.23,0.293,2.483,2.067
2.482,2.336,2.517,2.075,2.103,2.364,2.009,2.518,3.295,1.078,1.216,1.258,1.255,1.256,1.259,1.264,1.158,1.272,2.029,0.609,0.516,0.604,0.601,0.603,0.59,0.553,2.18,1.968,0.292,0.294,0.292,0.294,0.23,0.257,2.242,2.486
2.393,2.511,2.205,2.225,2.245,2.23,2.237,2.409,3.24,1.279,1.265,1.258,1.256,1.033,1.258,1.264,1.268,1.272,2.479,0.507,0.606,0.602,0.512,0.601,0.605,0.607,1.889,2.177,0.258,0.294,0.293,0.294,0.296,0.293,2.196,2.2
2.482,2.404,2.517,2.225,2.224,2.352,2.522,2.516,3.296,1.277,1.265,1.257,1.255,1.066,1.26,1.052,1.268,1.271,2.323,0.609,0.583,0.604,0.601,0.603,0.604,0.543,2.023,2.176,0.292,0.294,0.293,0.286,0.296,0.236,2.483,2.464
2.195,2.12,2.518,2.505,2.247,2.475,2.433,2.097,3.232,1.277,1.205,1.166,1.255,1.256,1.123,1.264,1.268,1.141,2.48,0.524,0.606,0.494,0.6,0.599,0.605,0.607,2.157,2.008,0.238,0.263,0.293,0.295,0.296,0.293,2.485,2.2
2.481,2.125,2.517,2.385,2.392,2.513,2.522,2.521,3.01,1.278,1.265,1.257,1.186,1.256,0.981,1.264,1.192,1.249,2.042,0.609,0.605,0.604,0.601,0.603,0.604,0.605,2.18,1.853,0.227,0.295,0.293,0.293,0.296,0.293,2.483,2.163
2.482,2.512,2.518,2.51,2.502,2.513,2.328,2.522,2.92,1.279,1.206,1.257,1.255,1.019,1.258,1.263,1.268,1.272,2.192,0.607,0.605,0.602,0.482,0.598,0.605,0.607,2.128,2.175,0.29,0.229,0.293,0.295,0.294,0.293,2.197,2.41
2.481,2.399,2.419,2.512,2.51,2.467,2.521,2.271,3.076,1.069,1.066,1.257,1.256,1.256,1.258,1.264,1.209,1.035,2.478,0.609,0.606,0.604,0.601,0.603,0.604,0.498,1.974,2.174,0.292,0.294,0.293,0.293,0.296,0.293,2.485,2.201
2.134,2.513,2.517,2.23,1.967,2.337,2.455,2.517,2.94,1.205,1.215,1.257,1.256,1.213,1.258,1.049,1.074,1.272,2.478,0.607,0.486,0.498,0.6,0.601,0.605,0.472,1.893,1.965,0.227,0.294,0.293,0.295,0.294,0.293,2.486,2.485
2.483,2.383,2.338,2.091,2.511,2.205,2.322,1.995,3.296,1.059,1.078,1.257,1.256,1.161,1.258,1.193,1.029,1.272,2.477,0.609,0.606,0.604,0.601,0.602,0.605,0.474,2.182,2.09,0.292,0.295,0.293,0.293,0.296,0.293,2.486,2.2
2.002,2.514,2.518,2.513,2.51,2.513,2.473,2.431,3.295,1.281,1.264,1.256,1.255,1.256,1.258,1.263,1.089,1.271,2.192,0.607,0.569,0.497,0.602,0.477,0.604,0.607,2.177,1.93,0.292,0.294,0.292,0.229,0.261,0.293,2.199,2.484
2.372,2.517,2.426,2.385,2.511,2.515,2.336,2.513,3.296,1.282,1.075,1.258,1.255,1.256,1.015,1.197,1.245,1.271,2.477,0.609,0.606,0.604,0.584,0.602,0.605,0.606,2.177,2.174,0.227,0.295,0.293,0.23,0.295,0.228,2.026,2.407
2.481,2.518,2.476,1.956,1.96,2.38,2.28,2.513,3.011,1.282,1.216,1.242,1.095,1.0,1.258,1.263,1.268,1.271,1.975,0.607,0.605,0.602,0.602,0.601,0.604,0.605,2.176,2.176,0.292,0.294,0.292,0.294,0.257,0.293,2.2,2.2
2.27,2.233,2.518,2.365,2.387,2.513,2.52,2.515,3.1,1.045,1.264,1.258,1.256,1.256,1.258,1.263,1.27,1.102,2.478,0.609,0.605,0.604,0.6,0.603,0.605,0.607,1.909,2.12,0.292,0.294,0.293,0.295,0.296,0.293,2.401,2.201
2.372,2.517,2.465,1.962,2.238,2.398,2.521,2.513,3.244,1.28,1.264,1.258,1.101,0.987,1.174,1.068,1.269,1.259,2.272,0.57,0.603,0.573,0.602,0.469,0.604,0.566,2.176,2.174,0.292,0.295,0.292,0.294,0.295,0.293,2.261,2.486
2.198,2.516,2.233,2.511,2.225,2.513,2.072,2.227,3.296,1.043,1.07,1.258,1.255,1.125,1.037,1.263,1.008,1.27,2.131,0.609,0.605,0.604,0.6,0.603,0.605,0.607,1.899,1.889,0.29,0.293,0.293,0.294,0.296,0.293,2.484,2.487
2.481,2.517,2.232,2.258,2.511,2.136,2.235,2.445,2.723,1.185,1.264,1.018,1.255,1.257,1.054,1.176,1.163,1.008,2.413,0.608,0.584,0.602,0.602,0.602,0.604,0.605,2.178,2.14,0.292,0.294,0.293,0.294,0.294,0.293,2.483,2.487
2.482,2.281,2.518,2.123,2.362,2.514,2.521,2.308,3.01,1.28,1.062,1.173,0.992,1.256,1.258,1.264,1.269,1.272,2.477,0.609,0.47,0.604,0.6,0.603,0.605,0.605,2.179,2.17,0.29,0.263,0.293,0.294,0.296,0.293,2.197,2.486
2.198,2.453,2.44,1.988,2.243,2.514,2.52,2.459,2.723,1.279,1.196,1.258,1.142,0.979,1.258,1.065,1.268,1.272,2.293,0.607,0.605,0.604,0.601,0.602,0.604,0.604,2.179,2.177,0.292,0.294,0.293,0.295,0.296,0.293,2.482,2.487
2.482,2.517,2.004,2.226,2.509,2.229,2.235,2.033,3.296,1.279,1.196,1.258,1.003,1.256,1.258,1.202,1.268,1.272,2.479,0.609,0.49,0.605,0.6,0.602,0.605,0.605,1.849,2.179,0.247,0.293,0.293,0.294,0.296,0.293,2.484,2.486
2.481,2.516,2.428,2.226,2.241,2.165,2.519,2.467,2.983,1.279,1.264,1.057,1.256,1.029,1.258,1.263,1.037,1.055,2.194,0.608,0.605,0.604,0.6,0.473,0.509,0.534,2.177,2.066,0.292,0.294,0.293,0.294,0.296,0.293,2.402,2.221
2.062,2.367,2.232,2.44,2.51,2.514,2.414,2.047,3.296,1.279,1.264,1.257,1.256,1.256,1.079,1.264,1.268,1.272,2.194,0.473,0.603,0.471,0.6,0.602,0.605,0.605,1.89,2.178,0.292,0.293,0.295,0.295,0.23,0.293,2.483,2.346
2.432,2.517,2.42,2.511,2.511,2.514,1.996,2.516,3.296,1.279,1.177,1.257,1.256,1.256,1.003,1.264,1.268,1.272,2.479,0.606,0.605,0.604,0.596,0.601,0.604,0.605,1.954,2.173,0.29,0.295,0.295,0.294,0.296,0.284,2.483,2.488
2.248,2.419,2.271,2.159,2.369,2.513,2.426,2.342,3.136,1.279,1.264,1.228,1.256,1.256,1.258,1.264,1.269,1.272,2.481,0.609,0.603,0.605,0.601,0.602,0.471,0.607,1.8,2.177,0.291,0.294,0.295,0.295,0.296,0.293,2.484,2.201
2.481,2.519,2.412,2.511,2.511,2.471,2.002,2.518,3.27,1.279,1.264,1.256,1.159,1.184,1.258,1.263,1.268,1.272,2.194,0.609,0.605,0.592,0.6,0.601,0.604,0.605,2.175,2.171,0.291,0.295,0.294,0.294,0.295,0.292,2.369,2.204
2.481,2.519,2.232,2.512,2.075,2.335,2.327,2.074,3.297,1.28,1.018,1.252,1.256,1.256,1.258,1.263,1.269,1.271,2.194,0.607,0.559,0.604,0.601,0.604,0.605,0.606,2.174,2.174,0.291,0.295,0.293,0.294,0.296,0.293,2.415,2.337
2.216,2.033,2.127,2.511,2.51,2.198,2.519,2.512,3.294,1.28,1.264,1.257,1.256,1.178,0.981,1.264,1.268,1.128,2.479,0.608,0.605,0.602,0.573,0.478,0.484,0.518,2.177,1.708,0.291,0.295,0.294,0.293,0.296,0.292,2.264,2.201
2.309,2.234,2.267,2.455,2.51,2.513,2.234,2.518,3.009,1.28,1.264,0.986,1.196,1.256,1.259,1.223,1.153,0.999,2.198,0.607,0.605,0.604,0.602,0.604,0.605,0.607,2.062,1.887,0.29,0.294,0.293,0.229,0.296,0.293,2.483,2.487
2.404,2.518,2.413,2.025,2.51,2.513,2.521,2.52,3.294,1.086,1.164,1.256,1.255,1.256,1.26,1.263,1.269,1.108,2.343,0.609,0.606,0.604,0.6,0.602,0.592,0.605,2.175,2.174,0.289,0.293,0.294,0.293,0.296,0.292,2.45,2.188
2.484,2.518,2.519,2.512,2.045,2.227,2.196,2.376,3.131,1.28,1.224,1.022,1.256,1.256,1.259,1.009,1.269,1.271,2.479,0.607,0.59,0.604,0.601,0.604,0.605,0.606,2.174,2.173,0.292,0.295,0.295,0.294,0.296,0.293,2.39,2.329
2.407,2.519,2.348,2.511,2.468,2.228,2.348,2.516,2.722,1.28,1.263,1.258,1.256,1.256,1.26,1.104,1.27,1.272,2.48,0.609,0.606,0.604,0.6,0.601,0.49,0.605,1.913,2.173,0.29,0.265,0.229,0.293,0.296,0.293,2.449,2.2
2.375,2.517,2.517,2.156,2.315,2.514,2.521,2.516,3.296,1.04,1.263,1.257,1.066,1.256,1.259,1.263,1.213,1.03,2.479,0.607,0.606,0.604,0.601,0.468,0.605,0.607,2.173,2.173,0.292,0.294,0.229,0.294,0.248,0.293,2.481,2.486
2.482,2.232,2.129,2.511,2.224,2.515,2.52,2.513,3.008,1.279,1.169,1.223,1.256,1.256,1.259,1.264,1.08,1.27,2.48,0.609,0.493,0.604,0.6,0.601,0.604,0.605,1.904,2.176,0.29,0.293,0.229,0.295,0.296,0.293,1.961,2.486
2.482,2.516,2.517,2.443,2.316,2.229,2.25,2.514,3.008,1.279,1.264,1.258,1.255,1.256,1.259,0.985,1.269,1.27,2.479,0.607,0.471,0.604,0.601,0.603,0.605,0.607,2.044,2.103,0.292,0.295,0.294,0.295,0.294,0.293,2.381,2.486
