0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.936,3.155,0.297,0.299,0.255,0.29,0.259,0.298,1.304,2.277,0.593,0.594,0.59,0.59,0.589,0.591,0.595,3.131,3.289,1.263,1.111,1.248,1.247,1.248,1.254,1.17,2.198,2.362,2.484,2.721,4.638,2.209,2.501,2.214,3.13,3.3
1.189,2.852,0.297,0.299,0.298,0.299,0.232,0.298,1.304,2.483,0.594,0.593,0.521,0.589,0.459,0.593,0.595,3.133,2.87,1.262,1.253,1.248,1.248,1.249,1.196,1.26,2.378,2.464,2.485,3.007,4.357,2.497,2.501,2.332,2.892,3.193
0.969,3.292,0.296,0.299,0.28,0.299,0.298,0.298,1.302,2.011,0.594,0.594,0.59,0.59,0.52,0.51,0.596,3.131,3.007,1.262,1.253,1.248,1.094,1.003,1.254,1.216,2.484,2.397,2.05,2.931,4.354,2.235,2.215,2.485,3.018,3.298
1.186,3.005,0.297,0.299,0.298,0.299,0.232,0.298,1.302,2.199,0.592,0.593,0.546,0.502,0.59,0.593,0.595,3.293,2.721,1.262,1.253,1.249,1.247,1.159,1.255,1.091,2.484,2.426,2.201,2.72,4.929,2.209,2.5,2.504,3.139,2.969
1.186,3.057,0.297,0.299,0.296,0.299,0.298,0.298,1.035,2.482,0.594,0.594,0.59,0.59,0.589,0.592,0.596,3.291,3.05,1.262,1.253,1.001,1.247,1.248,1.255,0.994,2.225,2.433,2.487,3.004,4.549,2.495,2.5,2.215,3.304,2.834
1.181,3.005,0.297,0.299,0.298,0.253,0.232,0.298,1.303,2.462,0.504,0.593,0.561,0.513,0.59,0.593,0.595,3.096,2.912,1.262,1.253,1.248,1.247,1.187,1.255,1.261,2.198,2.482,2.488,2.72,4.355,2.494,2.231,2.376,2.732,2.984
1.199,2.815,0.295,0.299,0.298,0.299,0.298,0.298,1.303,2.197,0.594,0.594,0.459,0.59,0.59,0.592,0.595,2.722,3.062,1.019,1.253,1.248,1.179,1.248,1.256,1.262,2.484,2.482,2.363,3.005,4.55,2.495,2.213,2.237,3.304,3.298
1.247,2.983,0.296,0.275,0.298,0.298,0.296,0.298,1.135,2.229,0.593,0.544,0.585,0.589,0.589,0.593,0.596,3.135,3.007,1.173,1.031,1.248,1.247,1.225,1.243,1.261,2.136,2.196,2.485,2.722,4.639,2.495,2.499,2.51,2.731,3.011
1.255,2.722,0.261,0.299,0.298,0.299,0.298,0.298,1.266,2.359,0.594,0.594,0.459,0.59,0.59,0.593,0.559,2.722,3.075,1.262,1.252,1.058,1.207,1.1,1.255,1.041,2.483,2.482,2.486,2.479,4.561,2.495,2.212,1.97,3.083,2.728
1.161,2.741,0.297,0.298,0.298,0.299,0.296,0.298,1.303,2.483,0.545,0.593,0.59,0.589,0.537,0.594,0.596,3.293,3.223,1.191,1.252,1.248,1.247,1.248,1.018,1.261,2.483,2.097,2.483,3.007,4.353,2.468,2.499,2.219,3.016,3.013
1.005,3.294,0.297,0.299,0.299,0.299,0.298,0.298,1.303,2.482,0.594,0.594,0.589,0.59,0.59,0.592,0.527,2.75,3.292,1.262,1.252,1.248,1.246,1.13,1.255,1.261,2.342,2.482,2.199,2.781,4.354,2.054,2.499,2.275,3.017,3.301
0.91,3.296,0.231,0.299,0.299,0.299,0.296,0.298,1.303,2.196,0.592,0.593,0.59,0.589,0.589,0.594,0.596,2.724,3.241,1.216,1.252,1.248,1.246,1.248,1.255,1.261,2.476,2.483,2.485,2.933,4.429,2.216,2.499,2.501,3.3,3.3
1.164,3.008,0.296,0.299,0.299,0.299,0.298,0.297,1.303,2.326,0.594,0.592,0.589,0.59,0.458,0.594,0.595,3.083,3.291,1.261,1.012,1.248,1.243,1.248,1.255,1.261,2.197,2.4,2.198,2.801,4.577,2.208,2.501,2.499,3.073,3.303
1.165,1.12,0.297,0.299,0.298,0.299,0.298,0.298,1.26,2.482,0.594,0.594,0.591,0.589,0.59,0.582,0.596,3.294,2.971,0.991,1.178,1.248,1.13,1.248,1.255,1.233,2.483,2.198,2.266,2.947,4.438,2.495,2.5,2.214,3.231,2.972
1.165,1.108,0.297,0.299,0.299,0.299,0.298,0.297,1.124,2.483,0.466,0.593,0.59,0.59,0.589,0.594,0.595,3.078,3.124,1.117,1.253,1.036,1.246,1.248,1.239,1.26,2.43,2.198,2.2,3.008,4.587,2.493,2.503,2.499,3.062,3.3
0.315,0.834,0.295,0.299,0.298,0.299,0.298,0.298,1.303,2.269,0.594,0.594,0.591,0.54,0.59,0.591,0.596,3.228,3.004,1.262,1.253,1.249,1.246,1.248,1.109,1.053,2.306,2.483,2.2,4.355,4.74,1.992,2.093,2.5,3.198,3.299
0.315,1.072,0.297,0.299,0.299,0.298,0.298,0.277,1.148,2.483,0.494,0.592,0.46,0.59,0.589,0.594,0.464,3.097,3.129,1.262,1.093,1.209,1.027,1.235,1.255,1.26,2.483,2.483,2.485,2.721,4.896,2.209,2.502,2.498,3.304,3.014
0.315,1.13,0.295,0.299,0.298,0.299,0.298,0.298,1.303,2.482,0.594,0.594,0.573,0.589,0.59,0.509,0.595,3.295,3.288,1.262,1.254,1.248,1.246,1.248,1.255,1.088,2.057,2.254,2.485,4.762,2.5,2.021,2.502,2.221,2.914,3.16
0.314,1.142,0.297,0.259,0.299,0.298,0.298,0.261,1.302,2.175,0.526,0.593,0.46,0.59,0.589,0.593,0.597,3.122,2.868,1.161,1.252,1.248,1.048,0.978,1.255,1.249,2.483,2.482,2.486,4.921,2.5,2.176,2.502,2.5,3.305,2.845
0.312,1.098,0.297,0.299,0.298,0.233,0.298,0.298,1.262,2.482,0.594,0.594,0.59,0.562,0.459,0.527,0.595,3.295,2.741,1.03,1.252,1.249,1.206,1.134,1.255,1.26,2.104,2.289,2.292,3.006,2.501,2.495,2.501,2.492,2.911,2.728
0.313,1.132,0.297,0.298,0.299,0.298,0.297,0.297,1.303,2.205,0.592,0.593,0.591,0.59,0.589,0.593,0.596,2.724,3.127,1.185,1.181,1.248,1.079,1.249,1.255,0.992,2.268,2.451,2.485,4.928,2.5,2.189,2.003,2.502,3.016,3.014
