2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.322,2.311,2.578,2.588,2.586,2.575,2.368,2.588,2.53,1.346,1.235,1.341,1.192,1.114,1.277,1.342,1.067,1.357,0.686,0.685,0.683,0.677,0.673,0.675,0.528,0.683,0.685,1.388,0.356,0.359,0.354,0.354,0.357,0.362,0.303,1.042
2.607,2.601,2.308,2.589,2.352,2.588,2.595,2.578,2.384,1.217,1.342,1.342,1.335,1.335,1.337,1.342,1.219,1.356,0.684,0.687,0.682,0.677,0.672,0.526,0.602,0.663,0.685,1.232,0.358,0.359,0.334,0.353,0.357,0.36,0.29,1.011
2.608,2.601,2.593,2.589,2.366,2.339,2.357,2.443,2.539,1.061,1.343,1.342,1.334,1.335,1.278,1.341,1.078,1.356,0.684,0.686,0.531,0.677,0.673,0.674,0.679,0.531,0.686,1.091,0.356,0.285,0.354,0.354,0.357,0.362,0.372,1.02
2.605,2.518,2.308,2.588,2.586,2.112,2.593,2.589,2.382,1.195,1.093,1.342,1.086,1.336,1.136,1.342,1.347,1.356,0.683,0.687,0.681,0.601,0.615,0.676,0.62,0.666,0.584,1.391,0.358,0.359,0.354,0.354,0.311,0.362,0.374,1.02
2.605,2.601,2.486,2.485,2.587,2.349,2.071,2.59,2.539,1.347,1.343,1.342,1.335,1.097,1.338,1.301,1.348,1.356,0.685,0.685,0.681,0.677,0.673,0.674,0.679,0.683,0.686,1.382,0.358,0.325,0.354,0.354,0.357,0.362,0.372,0.893
2.275,2.052,2.594,2.588,2.586,2.588,2.495,2.305,2.381,1.347,1.094,1.057,1.276,1.335,1.141,1.342,1.347,1.356,0.633,0.687,0.683,0.677,0.629,0.676,0.677,0.681,0.622,1.391,0.278,0.359,0.354,0.354,0.314,0.362,0.373,1.016
2.32,2.602,2.593,2.443,2.02,2.238,2.593,2.589,2.519,1.349,1.24,1.342,1.335,1.289,1.337,1.342,1.347,1.357,0.685,0.685,0.562,0.677,0.524,0.674,0.679,0.681,0.686,1.367,0.358,0.279,0.353,0.283,0.357,0.362,0.371,0.931
2.496,2.6,2.308,2.589,2.587,2.589,2.482,2.518,2.539,1.349,1.096,1.333,1.335,1.148,1.338,1.341,1.347,1.354,0.684,0.687,0.683,0.671,0.551,0.676,0.677,0.683,0.684,1.255,0.357,0.359,0.354,0.354,0.356,0.362,0.374,0.97
2.607,2.6,2.593,2.588,2.281,2.589,2.329,2.074,2.254,1.348,1.343,1.189,1.335,1.081,1.28,1.342,1.346,1.355,0.55,0.625,0.681,0.676,0.674,0.633,0.674,0.681,0.686,1.122,0.358,0.359,0.353,0.353,0.357,0.361,0.29,0.944
2.605,2.314,2.535,2.589,2.587,2.303,2.593,2.304,2.54,1.163,1.343,1.341,1.122,1.335,1.245,1.217,1.212,1.2,0.685,0.686,0.683,0.677,0.54,0.676,0.679,0.683,0.685,1.274,0.358,0.358,0.354,0.354,0.329,0.362,0.372,0.971
